case,polish_window,baseline_official_cycles,optimized_official_cycles,official_cycle_delta,official_cycle_ratio,official_improvement_pct,baseline_safe_cycles,optimized_safe_cycles,safe_cycle_delta,safe_cycle_ratio,spill_count,extra_traffic,accepted_steps,steps,recolor_steps,accepted_recolor_steps,safe_overlap_errors,literal_overlap_errors,seconds,valid
Matmul_Case0,0,135082,133682,-1400,0.989636,1.036408,195024,160005,-35019,0.820437,225,28800,2,5,1,0,0,20,1.727483,True
Matmul_Case1,0,1534618,1531946,-2672,0.998259,0.174115,1771302,1669574,-101728,0.942569,3361,430208,2,5,1,0,0,20,105.624405,True
FlashAttention_Case0,1,194265,188562,-5703,0.970643,2.935681,205088,204875,-213,0.998961,316,54016,1,4,1,1,0,20,1.826004,True
FlashAttention_Case1,0,962746,962022,-724,0.999248,0.075202,1026762,1026634,-128,0.999875,1782,242552,1,4,1,1,0,20,44.317601,True
Conv_Case0,2,636114,604665,-31449,0.950561,4.943925,774198,785887,11689,1.015098,522,177904,2,6,1,1,0,20,14.982117,True
Conv_Case1,3,3852543,3781664,-70879,0.981602,1.839798,4116658,4113775,-2883,0.9993,9646,721464,2,6,1,1,0,20,1238.248721,True
