case,nodes,edges,baseline_peak,pressure_peak,frontier_peak,lookahead_peak,best_peak,best_method,absolute_reduction_vs_baseline,relative_reduction_vs_baseline,baseline_seconds,pressure_seconds,frontier_seconds,lookahead_seconds,lookahead_decisions,lookahead_baseline_upper
Matmul_Case0,4160,7104,9216,9216,9216,16256,9216,q1_baseline,0,0.0,0.01548,0.048544,0.035005,0.612747,92,9216
Matmul_Case1,30976,55040,34816,34816,34816,65408,34816,q1_baseline,0,0.0,0.127663,0.533077,0.398261,43.424717,376,34816
FlashAttention_Case0,1716,2712,26728,26728,26728,35464,26728,q1_baseline,0,0.0,0.006496,0.015008,0.009153,0.046133,133,26728
FlashAttention_Case1,6952,11184,106992,106992,106992,134160,106992,q1_baseline,0,0.0,0.03081,0.074816,0.044964,0.348069,519,106992
Conv_Case0,2580,3869,80170,83303,80170,129322,80170,q1_baseline,0,0.0,0.010175,0.083153,0.074875,0.206455,122,80170
Conv_Case1,36086,85653,310408,310408,310408,310344,310344,q1_lookahead,64,0.00020618025308626067,0.167403,20.687209,19.778581,332.477847,2526,310408
