case,variant,sequence,extra_traffic,traffic_delta,traffic_delta_pct,official_cycles,official_improvement_pct,safe_cycles,strict_valid
Conv_Case0,zero_traffic,0,177904,0,0.0,597969,5.996567,787783,True
Conv_Case1,zero_traffic,0,721464,0,0.0,3767326,2.211968,4112665,True
FlashAttention_Case0,zero_traffic,0,54016,0,0.0,187945,3.253288,204875,True
FlashAttention_Case1,zero_traffic,0,242552,0,0.0,962022,0.075202,1026634,True
FlashAttention_Case1,refined_tradeoff,1>1,244048,1496,0.616775,947002,1.635322,958676,True
FlashAttention_Case1,refined_tradeoff,2>1,245060,2508,1.034005,912556,5.213213,936070,True
Matmul_Case0,zero_traffic,0,28800,0,0.0,133682,1.036408,160005,True
Matmul_Case1,zero_traffic,0,430208,0,0.0,1531946,0.174115,1669574,True
